title,noun,count
갤버스턴,모습,3
갤버스턴,연기력,3
갤버스턴,관계,2
갤버스턴,밑바닥,2
갤버스턴,배우,2
갤버스턴,상황,2
갤버스턴,구도,2
갤버스턴,처지,2
갤버스턴,탈출,2
갤버스턴,해결사,2
갤버스턴,조직,2
갤버스턴,희망이,2
갤버스턴,구성,1
갤버스턴,와중,1
갤버스턴,반전,1
갤버스턴,채,1
갤버스턴,인상,1
갤버스턴,분해,1
갤버스턴,출연,1
갤버스턴,폭발력,1
갤버스턴,방점,1
갤버스턴,짜임새,1
갤버스턴,유기,1
갤버스턴,플롯,1
갤버스턴,전반,1
갤버스턴,의사,1
갤버스턴,전혀,1
갤버스턴,탈출기,1
갤버스턴,생명,1
갤버스턴,조금,1
갤버스턴,순간,1
갤버스턴,고통,1
갤버스턴,인생,1
갤버스턴,파이어,1
갤버스턴,온,1
갤버스턴,아저씨,1
갤버스턴,동행,1
갤버스턴,여성,1
갤버스턴,매춘부,1
갤버스턴,킬러,1
갤버스턴,부모,1
갤버스턴,의지,1
갤버스턴,진행,1
갤버스턴,허망,1
갤버스턴,당황,1
갤버스턴,얘기,1
걸캅스,사건,8
걸캅스,범죄,6
걸캅스,형사,5
걸캅스,작품,5
걸캅스,박미영,4
걸캅스,조지혜,4
걸캅스,과정,4
걸캅스,이자,4
걸캅스,여기,3
걸캅스,장르,3
걸캅스,코미디,3
걸캅스,해결,3
걸캅스,시누이,3
걸캅스,장미,3
걸캅스,취급,3
걸캅스,경찰,3
걸캅스,반영,3
걸캅스,공공기관,3
걸캅스,결말,3
걸캅스,여성,3
걸캅스,활약,3
걸캅스,현실,3
걸캅스,주변,2
걸캅스,출신,2
걸캅스,남편,2
걸캅스,오빠,2
걸캅스,지원,2
걸캅스,상황,2
걸캅스,주류,2
걸캅스,시선,2
걸캅스,설정,2
걸캅스,해커,2
걸캅스,강력,2
걸캅스,조직,2
걸캅스,살인,2
걸캅스,일쑤,2
걸캅스,추구,2
걸캅스,배재,2
걸캅스,봉사,2
걸캅스,세금,2
걸캅스,이성경,2
걸캅스,라미란,2
걸캅스,민원,2
걸캅스,지불,1
걸캅스,인사,1
걸캅스,일거리,1
걸캅스,성적,1
걸캅스,고과,1
걸캅스,성취,1
걸캅스,기업,1
결혼 이야기,연기,2
결혼 이야기,전반,2
결혼 이야기,제목,2
결혼 이야기,이혼,1
결혼 이야기,별,1
결혼 이야기,요한슨,1
결혼 이야기,스칼렛,1
결혼 이야기,여주,1
결혼 이야기,느낌,1
결혼 이야기,뭔가,1
결혼 이야기,서로,1
결혼 이야기,진행,1
결혼 이야기,중점,1
결혼 이야기,결혼,1
결혼 이야기,정반대,1
결혼 이야기,달리,1
결혼 이야기,작품,1
결혼 이야기,오른,1
결혼 이야기,후보,1
결혼 이야기,골든글로브,1
결혼 이야기,아카데미,1
결혼 이야기,현실,1
결혼 이야기,배우,1
결혼 이야기,주연,1
결혼 이야기,반,1
경계선,티나,13
경계선,보레,12
경계선,인간,8
경계선,작품,5
경계선,정체,5
경계선,외모,4
경계선,트롤,4
경계선,괴이,3
경계선,등장,3
경계선,능력,3
경계선,냄새,3
경계선,공격,2
경계선,냉소,2
경계선,야생,2
경계선,발휘,2
경계선,충격,2
경계선,북유럽,2
경계선,신화,2
경계선,시작,2
경계선,감정,2
경계선,범죄,2
경계선,부정,2
경계선,사이,2
경계선,동료,2
경계선,콧등,1
경계선,자랑,1
경계선,몸집,1
경계선,거구,1
경계선,달리,1
경계선,돌출,1
경계선,소용돌이,1
경계선,이마,1
경계선,초점,1
경계선,비롯,1
경계선,행동,1
경계선,굴복,1
경계선,거림,1
경계선,으르렁,1
경계선,언어능력,1
경계선,이상,1
경계선,상태,1
경계선,가운데,1
경계선,성별,1
경계선,여성,1
경계선,남성,1
경계선,관객,1
경계선,둘,1
경계선,생물학,1
경계선,주더,1
경계선,출신,1
고질라: 킹 오브 몬스터,고질라,4
고질라: 킹 오브 몬스터,장면,3
고질라: 킹 오브 몬스터,괴수,3
고질라: 킹 오브 몬스터,엠마,3
고질라: 킹 오브 몬스터,세상,3
고질라: 킹 오브 몬스터,인간,3
고질라: 킹 오브 몬스터,실망,2
고질라: 킹 오브 몬스터,모스,2
고질라: 킹 오브 몬스터,실날,2
고질라: 킹 오브 몬스터,라가,1
고질라: 킹 오브 몬스터,듯이,1
고질라: 킹 오브 몬스터,희생,1
고질라: 킹 오브 몬스터,위해,1
고질라: 킹 오브 몬스터,오르카,1
고질라: 킹 오브 몬스터,헌신,1
고질라: 킹 오브 몬스터,아들,1
고질라: 킹 오브 몬스터,장본인,1
고질라: 킹 오브 몬스터,줄기,1
고질라: 킹 오브 몬스터,가족,1
고질라: 킹 오브 몬스터,나락끝,1
고질라: 킹 오브 몬스터,희망,1
고질라: 킹 오브 몬스터,지난날,1
고질라: 킹 오브 몬스터,잘못,1
고질라: 킹 오브 몬스터,과거,1
고질라: 킹 오브 몬스터,만회,1
고질라: 킹 오브 몬스터,기회,1
고질라: 킹 오브 몬스터,과연,1
고질라: 킹 오브 몬스터,행동,1
고질라: 킹 오브 몬스터,캐스팅,1
고질라: 킹 오브 몬스터,몇몇,1
고질라: 킹 오브 몬스터,구,1
고질라: 킹 오브 몬스터,전체,1
고질라: 킹 오브 몬스터,고마,1
고질라: 킹 오브 몬스터,주변,1
고질라: 킹 오브 몬스터,모든,1
고질라: 킹 오브 몬스터,예술,1
고질라: 킹 오브 몬스터,여태,1
고질라: 킹 오브 몬스터,가장,1
고질라: 킹 오브 몬스터,재미,1
고질라: 킹 오브 몬스터,비롯,1
고질라: 킹 오브 몬스터,여러,1
고질라: 킹 오브 몬스터,등장,1
고질라: 킹 오브 몬스터,도심,1
고질라: 킹 오브 몬스터,아수라,1
고질라: 킹 오브 몬스터,진창,1
고질라: 킹 오브 몬스터,주인공,1
고질라: 킹 오브 몬스터,주파수,1
고질라: 킹 오브 몬스터,조종,1
고질라: 킹 오브 몬스터,혼란,1
고질라: 킹 오브 몬스터,구성,1
